County,Cases Slope,Population Slope,,Urban Classification
Alameda,26.14850367,12473.87182,,Urban
Alpine,0.010728402,-2.853754941,,Rural
Amador,0.683229814,162.5031056,,Rural
Butte,4.291925466,527.8610954,,Suburban
Calaveras,-0.244494636,104.4297007,,Rural
California,853.460192,243790.1925,,Urban
Colusa,0.30717109,112.0271033,,Rural
Contra Costa,23.69452287,10418.09825,,Urban
Del Norte,0.211180124,-51.97289667,,Rural
El Dorado,3.631281762,1197.497459,,Suburban
Fresno,28.59627329,9327.811971,,Urban
Glenn,0.219649915,78.59175607,,Rural
Humboldt,-0.12987013,370.0180689,,Suburban
Imperial,8.634105025,1669.83738,,Suburban
Inyo,0.191417278,33.77639752,,Rural
Kern,109.7617165,10560.02597,,Urban
Kings,8.012987013,623.7543761,,Suburban
Lake,1.568040655,362.0299266,,Rural
Lassen,-0.037267081,-183.9988707,,Rural
Los Angeles,190.6787126,16026.03162,,Urban
Madera,2.940711462,1289.5048,,Suburban
Marin,8.966120836,908.5431959,,Suburban
Mariposa,0.26595144,-37.98306042,,Rural
Mendocino,3.223602484,208.0254094,,Suburban
Merced,3.469226426,2923.591756,,Suburban
Modoc,0.25974026,-55.29474873,,Rural
Mono,0.264822134,-26.14680971,,Rural
Monterey,10.07622812,1891.420102,,Suburban
Napa,1.255223038,573.7464709,,Suburban
Nevada,0.920383964,346.9412761,,Suburban
Orange,49.34952005,15595.07115,,Urban
Placer,8.695652174,6643.922078,,Suburban
Plumas,-0.031055901,-70.13325805,,Rural
Riverside,57.78091474,36486.66855,,Urban
Sacramento,17.66572558,15069.71824,,Urban
San Benito,1.179559571,534.5900621,,Rural
San Bernardino,29.78035008,18702.32016,,Urban
San Diego,84.45962733,21958.94071,,Urban
San Francisco,7.688876341,4838.380576,,Urban
San Joaquin,14.79390175,8964.348391,,Urban
San Luis Obispo,11.63297572,1543.736307,,Suburban
San Mateo,5.127611519,3522.710898,,Urban
Santa Barbara,12.34839074,2282.981366,,Suburban
Santa Clara,24.97797854,13880.5974,,Urban
Santa Cruz,6.191981931,943.4376059,,Suburban
Shasta,2.568605308,602.6465274,,Suburban
Sierra,-0.118012422,-17.09373235,,Rural
Siskiyou,0.507622812,-39.53585545,,Rural
Solano,8.116883117,2512.647657,,Suburban
Sonoma,7.386787126,1450.087521,,Suburban
Stanislaus,11.36702428,4033.532468,,Suburban
Sutter,0.830039526,838.6386222,,Suburban
Tehama,1.70920384,361.4257482,,Rural
Trinity,0.059288538,147.916996,,Rural
Tulare,12.2998306,4710.278938,,Suburban
Tuolumne,0.517786561,-78.95765104,,Rural
Ventura,34.04968944,3488.931112,,Urban
Yolo,3.361942405,2092.446076,,Suburban
Yuba,1.289666855,958.2473179,,Suburban